harmonico,amplitude,angulo
30.27,100,0
30.271667,100,0
30.273333,100,0
30.275,100,0
30.276667,100,0
30.278333,100,0
30.28,100,0
30.281667,100,0
30.283333,100,0
30.285,100,0
30.286667,100,0
30.288333,100,0
30.29,100,0
30.291667,100,0
30.293333,100,0
30.295,100,0
30.296667,100,0
30.298333,100,0
30.3,100,0
30.301667,100,0
30.303333,100,0
30.305,100,0
30.306667,100,0
30.308333,100,0
30.31,100,0
30.311667,100,0
30.313333,100,0
30.315,100,0
30.316667,100,0
30.318333,100,0
30.32,100,0
30.321667,100,0
30.323333,100,0
30.325,100,0
30.326667,100,0
30.328333,100,0
30.33,100,0
30.331667,100,0
30.333333,100,0
30.335,100,0
30.336667,100,0
30.338333,100,0
30.34,100,0
30.341667,100,0
30.343333,100,0
30.345,100,0
30.346667,100,0
30.348333,100,0
30.35,100,0
30.351667,100,0
30.353333,100,0
30.355,100,0
30.356667,100,0
30.358333,100,0
30.36,100,0
30.361667,100,0
30.363333,100,0
30.365,100,0
30.366667,100,0
30.368333,100,0
30.37,100,0
30.371667,100,0
30.373333,100,0
30.375,100,0
30.376667,100,0
30.378333,100,0
30.38,100,0
30.381667,100,0
30.383333,100,0
30.385,100,0
30.386667,100,0
30.388333,100,0
30.39,100,0
30.391667,100,0
30.393333,100,0
30.395,100,0
30.396667,100,0
30.398333,100,0
30.4,100,0
30.401667,100,0
30.403333,100,0
30.405,100,0
30.406667,100,0
30.408333,100,0
30.41,100,0
30.411667,100,0
30.413333,100,0
30.415,100,0
30.416667,100,0
30.418333,100,0
30.42,100,0
30.421667,100,0
30.423333,100,0
30.425,100,0
30.426667,100,0
30.428333,100,0
30.43,100,0
30.431667,100,0
30.433333,100,0
30.435,100,0
30.436667,100,0
30.438333,100,0
30.44,100,0
30.441667,100,0
30.443333,100,0
30.445,100,0
30.446667,100,0
30.448333,100,0
30.45,100,0
30.451667,100,0
30.453333,100,0
30.455,100,0
30.456667,100,0
30.458333,100,0
30.46,100,0
30.461667,100,0
30.463333,100,0
30.465,100,0
30.466667,100,0
30.468333,100,0
30.47,100,0
30.471667,100,0
30.473333,100,0
30.475,100,0
30.476667,100,0
30.478333,100,0
30.48,100,0
30.481667,100,0
30.483333,100,0
30.485,100,0
30.486667,100,0
30.488333,100,0
30.49,100,0
30.491667,100,0
30.493333,100,0
30.495,100,0
30.496667,100,0
30.498333,100,0
30.5,100,0
30.501667,100,0
30.503333,100,0
30.505,100,0
30.506667,100,0
30.508333,100,0
30.51,100,0
30.511667,100,0
30.513333,100,0
30.515,100,0
30.516667,100,0
30.518333,100,0
30.52,100,0
30.521667,100,0
30.523333,100,0
30.525,100,0
30.526667,100,0
30.528333,100,0
30.53,100,0
30.531667,100,0
30.533333,100,0
30.535,100,0
30.536667,100,0
30.538333,100,0
30.54,100,0
30.541667,100,0
30.543333,100,0
30.545,100,0
30.546667,100,0
30.548333,100,0
30.55,100,0
30.551667,100,0
30.553333,100,0
30.555,100,0
30.556667,100,0
30.558333,100,0
30.56,100,0
30.561667,100,0
30.563333,100,0
30.565,100,0
30.566667,100,0
30.568333,100,0
30.57,100,0
30.571667,100,0
30.573333,100,0
30.575,100,0
30.576667,100,0
30.578333,100,0
30.58,100,0
30.581667,100,0
30.583333,100,0
30.585,100,0
30.586667,100,0
30.588333,100,0
30.59,100,0
30.591667,100,0
30.593333,100,0
30.595,100,0
30.596667,100,0
30.598333,100,0
30.6,100,0
30.601667,100,0
30.603333,100,0
30.605,100,0
30.606667,100,0
30.608333,100,0
30.61,100,0
30.611667,100,0
30.613333,100,0
30.615,100,0
30.616667,100,0
30.618333,100,0
30.62,100,0
30.621667,100,0
30.623333,100,0
30.625,100,0
30.626667,100,0
30.628333,100,0
30.63,100,0
30.631667,100,0
30.633333,100,0
